1000 2500
0 780 102
0 926 19
0 833 218
0 958 34
0 241 98
0 78 73
0 436 57
1 436 39
1 204 9
1 463 21
1 344 0
1 933 24
1 43 143
2 191 223
2 492 297
2 736 198
3 241 14
3 115 99
3 476 187
3 437 145
3 565 47
3 375 261
4 109 36
4 948 45
4 321 226
4 972 65
4 658 168
5 320 61
5 255 118
5 326 51
5 352 175
5 670 93
6 682 87
6 434 33
6 919 94
6 164 150
7 773 167
7 525 292
7 898 235
7 718 223
7 999 156
7 300 36
8 530 21
8 306 268
9 924 41
9 860 166
9 920 182
10 426 273
10 991 195
10 169 225
10 544 249
10 357 202
10 499 30
11 580 215
11 196 56
11 637 97
11 221 295
11 520 110
11 35 85
11 469 60
11 739 187
12 545 81
12 801 117
12 176 23
12 116 166
12 435 178
13 43 33
13 981 52
13 523 263
13 163 87
13 611 270
13 278 214
13 266 297
13 41 234
14 592 150
14 952 159
15 510 55
15 604 265
15 908 248
15 527 261
15 435 125
15 665 158
15 931 242
15 791 100
16 950 46
16 279 40
17 206 178
17 618 6
17 419 100
17 440 23
17 558 69
18 219 121
18 486 169
18 613 92
19 964 140
19 133 146
19 444 9
19 260 142
19 353 180
20 578 160
20 596 123
20 599 268
21 557 254
21 640 119
21 545 94
22 190 274
22 525 290
22 216 240
23 780 12
23 602 136
23 427 137
23 156 17
23 159 117
24 488 96
24 712 0
24 491 186
24 214 100
24 533 254
24 564 42
25 163 60
25 842 125
25 930 3
26 929 226
27 396 208
27 843 59
27 586 68
27 671 77
27 382 92
27 647 165
27 866 18
28 621 291
28 749 9
28 585 57
28 978 80
28 69 134
28 701 219
29 737 234
29 978 188
30 328 178
30 149 190
31 737 276
31 709 104
31 517 297
31 780 233
32 768 217
32 486 44
32 886 160
32 207 68
32 799 87
32 266 134
32 157 236
32 245 8
33 289 215
33 475 7
34 771 45
34 205 76
34 73 55
34 400 101
34 420 140
34 50 278
34 781 222
34 305 229
34 684 236
35 552 2
35 755 220
35 290 22
35 100 36
35 630 203
35 99 124
35 934 119
35 696 261
35 203 166
35 149 150
35 41 120
35 744 133
35 108 118
36 300 259
36 206 71
36 946 97
36 989 143
36 524 158
36 297 151
36 304 86
37 649 140
37 743 151
38 83 210
38 302 138
38 864 56
39 683 282
39 786 38
39 807 44
39 830 70
40 499 38
40 745 261
40 518 179
40 605 23
