50000 75000
0 569 13
0 27914 203
0 30363 213
0 18828 64
1 19096 218
1 17781 112
1 22044 66
2 46509 152
2 33568 107
2 4653 153
3 2732 211
3 8324 95
3 10319 236
4 19104 278
4 46857 295
4 19575 213
4 12579 292
4 31376 27
5 39479 1
5 34785 70
5 7857 19
5 4072 140
5 35138 153
5 43722 62
5 17983 202
6 43193 52
7 27525 30
7 46467 199
7 16916 145
7 2608 205
7 12752 102
7 16329 104
7 17354 160
8 30573 8
8 41589 207
8 39516 181
9 26834 31
9 16038 158
10 26953 115
10 37585 36
11 48338 14
12 5331 84
12 44508 169
12 11242 41
12 28302 202
13 34787 225
13 33897 248
13 32701 286
13 45319 236
14 21314 118
14 49163 90
14 34297 108
14 26064 124
15 5029 131
16 24236 279
16 12282 283
16 36894 285
17 21634 265
17 26083 177
17 1180 81
18 8516 147
18 20344 281
19 25615 117
19 9106 60
20 41318 291
20 16983 63
21 22431 190
22 6534 129
22 33607 173
22 16443 115
22 24775 236
22 22507 261
23 38099 77
23 33477 70
23 46493 37
23 48826 222
23 6437 170
23 36093 224
24 32703 79
24 42872 292
24 25083 112
25 22199 242
25 8576 108
25 4470 218
25 18037 276
26 40768 219
26 26760 32
26 2397 206
26 46456 157
26 10279 211
28 16647 4
29 8578 120
29 36525 97
29 1655 232
30 44804 178
30 46812 37
31 34415 109
31 5675 137
31 30834 94
32 12335 51
33 18447 200
33 16587 266
33 44848 153
33 8454 154
33 6704 219
35 42967 41
35 16028 293
36 44733 121
36 47174 240
36 6373 165
36 29875 3
37 26481 148
37 41428 107
37 30917 30
38 11109 264
39 34928 85
39 46722 252
39 12305 228
40 43001 234
40 14306 180
41 3615 216
42 1678 6
42 35440 58
43 835 152
43 29053 110
43 7402 152
43 43615 7
43 37750 293
45 18327 237
45 11742 288
45 22197 254
46 46565 286
46 46005 218
46 25850 49
47 30127 118
47 39781 10
48 17336 152
48 49640 8
48 3809 178
49 40564 275
49 13789 30
49 35343 226
49 11203 78
49 48572 79
49 37307 93
50 23282 226
50 20151 143
50 48822 65
50 10368 244
50 27771 211
50 32607 96
50 36381 18
50 46343 295
50 17472 262
51 2083 166
51 7610 137
51 23297 281
51 42312 278
51 41605 256
52 4279 26
52 7254 193
52 47415 51
53 20629 10
53 27750 116
53 33547 229
54 38786 166
