100 250
0 75 296
0 91 75
0 55 120
0 27 181
0 18 83
0 6 156
0 72 24
1 53 208
1 50 103
1 92 212
1 44 294
1 8 68
1 25 238
2 43 168
2 61 138
2 45 126
2 74 279
2 96 190
2 92 31
3 37 267
3 69 104
3 46 262
3 9 69
3 62 7
3 40 65
4 30 248
5 61 147
5 66 91
6 10 155
6 79 48
6 89 44
6 38 33
6 71 39
6 16 177
6 59 224
7 17 151
7 70 287
7 37 30
7 18 266
7 39 246
8 86 69
8 47 292
8 72 80
8 70 63
8 99 59
9 20 158
9 92 97
9 19 30
10 22 283
10 89 204
10 96 290
11 92 55
11 50 70
11 46 159
11 80 212
11 94 132
12 96 142
12 57 81
12 24 88
12 48 31
13 50 5
13 36 22
14 18 230
14 42 196
14 41 90
14 82 127
15 56 180
15 44 194
15 80 233
15 26 161
15 57 233
16 92 263
16 25 113
16 97 299
17 37 108
17 98 38
18 64 264
18 36 32
18 96 94
18 24 189
18 92 185
19 59 261
19 34 170
19 63 17
20 91 34
21 39 16
21 45 131
21 90 217
21 81 267
21 36 122
22 33 87
22 73 3
22 62 57
22 42 71
23 64 289
23 26 14
23 54 229
23 63 287
24 53 44
24 26 30
25 65 126
25 47 72
25 93 95
26 53 135
27 92 158
27 91 138
27 48 283
27 77 36
27 57 299
28 82 96
28 86 34
28 94 143
29 78 173
29 47 71
30 63 113
30 44 258
30 87 218
30 48 64
30 81 32
30 97 208
31 84 48
31 83 266
31 71 37
31 91 51
31 98 269
31 54 144
31 41 83
32 53 160
32 97 212
32 36 254
32 72 166
32 35 72
33 36 283
33 96 255
33 56 31
33 94 300
34 85 230
34 63 227
34 65 158
34 49 183
34 94 206
34 80 175
35 90 57
35 92 267
35 86 234
35 38 39
35 72 160
36 99 41
36 48 43
37 84 100
37 71 164
38 70 197
38 45 15
38 89 41
38 61 93
38 73 81
39 61 148
39 66 6
39 80 107
39 97 255
39 56 176
39 48 39
40 87 131
41 56 36
42 69 106
42 61 152
42 50 182
42 87 135
42 43 40
42 56 300
43 62 275
43 85 33
44 88 288
44 74 138
44 51 45
45 86 35
45 47 3
45 79 120
45 71 25
46 70 42
46 91 63
46 48 166
47 83 130
47 68 99
47 51 219
47 80 162
47 93 38
48 96 232
48 57 222
50 92 66
50 51 230
50 72 61
51 80 201
51 82 8
52 84 62
52 80 39
52 76 129
53 87 168
53 56 269
53 92 288
54 89 95
54 77 261
54 65 278
54 81 250
55 57 9
55 83 45
56 60 129
57 96 148
58 91 93
58 78 230
60 87 162
60 81 273
60 79 29
61 98 36
61 70 75
61 87 250
62 94 286
62 63 281
62 98 226
63 88 111
66 81 89
67 77 55
68 86 82
68 76 259
69 94 264
70 88 197
70 90 103
71 92 116
72 82 129
72 95 167
72 89 148
73 79 168
74 75 93
74 96 53
75 79 223
75 91 112
75 76 85
76 88 144
76 96 54
77 80 132
78 95 220
80 83 205
80 88 284
82 97 222
83 84 176
90 98 60
91 92 149
91 96 257
93 99 228
95 97 213
