5000 10000
0 1694 1
0 2987 15
0 827 61
0 4766 92
0 4267 17
0 1569 283
0 3039 216
1 740 18
1 3192 275
1 1579 82
2 3447 42
2 1324 6
2 4440 17
3 4488 17
3 2243 163
3 124 68
3 1068 110
3 3881 190
4 3056 106
4 681 169
5 521 7
5 3895 82
5 3756 112
5 3567 272
5 1221 7
6 3499 39
6 2391 140
6 231 265
6 2178 111
7 1285 73
7 3027 75
7 1717 208
7 1648 227
7 3706 34
7 1235 211
8 1516 67
8 3997 107
8 2802 170
9 698 50
9 712 3
10 3738 169
10 1806 148
10 2034 267
11 3872 241
12 2265 298
12 2410 180
13 1092 83
13 4905 42
13 2736 235
13 2541 258
13 3554 49
14 3493 100
14 3647 95
14 2783 284
14 2492 146
14 2940 27
16 248 142
16 4353 212
16 1062 261
17 3508 252
18 3053 168
18 1240 289
18 797 208
18 3162 196
19 1283 292
19 315 68
19 2135 80
19 1975 177
19 4899 63
19 1581 170
20 1619 220
20 1215 183
20 4142 296
20 1048 40
20 2077 151
20 636 81
21 448 30
21 3668 93
21 54 168
21 4451 199
22 3736 112
22 264 254
23 3337 29
23 680 7
24 4837 110
24 3603 210
24 1981 77
25 2227 216
25 3939 30
25 181 219
25 470 262
26 4036 28
26 1594 209
26 2470 149
26 3187 278
26 4229 99
27 1586 131
27 2750 277
27 2061 59
27 2672 4
28 1613 270
28 4468 269
28 438 99
29 3269 27
29 766 33
29 4492 91
29 4858 128
29 722 258
29 584 104
29 3214 57
30 4868 133
30 4260 295
31 4073 280
31 3814 248
31 3533 15
31 3545 289
32 591 121
32 597 212
32 2823 31
32 3671 184
32 4022 282
32 3906 144
32 410 136
33 2958 178
34 486 28
34 1759 1
34 2678 144
34 1261 46
35 4658 157
35 1041 263
35 581 107
35 2402 82
35 345 270
35 3869 286
36 2761 64
36 4710 50
36 2712 186
36 1167 26
37 4366 120
38 2857 254
38 4319 79
38 3039 134
38 3088 101
38 2148 6
38 3226 78
38 1372 70
39 493 267
39 4478 176
39 634 13
39 2053 26
39 3246 251
39 3090 6
40 4943 222
40 2137 77
40 4387 22
40 3975 192
41 1561 268
42 3458 284
42 1570 228
42 1798 255
42 3846 295
42 4454 285
43 3879 63
43 4834 226
43 389 74
45 4138 75
45 3114 273
45 833 55
45 1640 165
46 2831 172
46 1041 259
46 3813 192
46 806 103
46 4227 242
47 544 284
47 1728 7
47 4171 186
48 60 284
48 2756 221
48 4240 196
48 1004 155
48 710 297
48 3786 294
49 118 39
49 1857 278
49 1128 220
49 800 268
49 718 120
50 4566 110
50 448 198
50 2925 267
51 1830 186
51 621 49
51 3838 270
51 4046 81
52 4017 219
52 1458 293
52 334 242
52 1353 42
53 354 292
53 446 95
53 3582 172
53 948 293
53 2866 286
54 1112 213
54 1788 13
54 2353 65
55 365 164
55 2691 240
55 4227 75
56 4310 245
56 2226 16
56 2822 107
56 1619 51
56 4552 16
57 1027 96
57 842 256
58 1671 159
58 4812 228
59 4589 247
59 729 83
59 1867 13
59 2570 137
59 963 245
60 3804 104
60 2080 136
60 1844 130
60 1768 54
61 3804 112
61 4632 95
62 2171 234
62 4363 276
63 3904 154
63 1297 143
63 2888 10
63 418 10
64 1737 87
64 4133 252
64 744 78
64 1511 275
64 1292 105
65 4725 72
65 2357 25
66 4020 135
66 2013 179
66 4431 170
66 484 70
66 1043 142
67 2475 54
67 4074 206
67 4771 219
67 4094 230
67 3975 147
67 905 39
67 1854 287
67 1532 15
68 1256 262
68 77 250
68 2524 49
68 518 194
68 3476 76
68 2504 130
68 384 2
68 3284 21
69 3819 192
69 281 24
70 1407 1
71 121 49
71 1766 17
71 1652 114
71 2901 128
72 4359 6
72 3565 136
72 4142 279
72 4055 167
72 2337 128
73 3957 169
73 2543 211
73 241 238
73 2321 69
73 4957 77
74 2388 213
74 3817 5
74 4315 277
74 4815 127
74 2710 243
74 2818 114
74 3310 141
75 698 195
75 908 55
75 4032 187
75 1595 170
75 3820 280
76 4075 241
77 603 207
77 355 155
77 1779 180
77 966 88
78 4745 242
78 3267 24
78 4109 240
78 2552 230
79 618 8
79 2542 152
79 4565 113
80 1710 202
80 685 284
80 1042 146
80 1812 211
80 1079 254
80 3745 59
80 4548 194
81 188 151
81 4246 46
81 3949 290
81 252 163
81 4049 265
82 2168 32
82 2781 58
82 4558 245
82 1141 245
82 3675 289
82 4899 237
83 659 299
83 759 210
83 864 153
84 3946 162
84 1940 230
84 3407 147
84 4612 90
84 2923 53
85 4696 60
85 2576 207
85 1710 174
86 4674 10
86 2091 167
86 3593 125
86 213 64
87 3043 208
87 2942 72
87 2928 196
87 2812 254
87 182 89
87 1644 129
88 2490 128
88 2106 284
88 3627 90
88 3056 63
88 1281 160
88 2712 123
88 3711 61
89 480 92
89 1200 151
89 2302 44
89 1232 5
89 3970 293
89 2923 83
89 915 150
89 2866 151
90 3405 99
90 3354 198
90 4636 52
91 3052 153
91 3960 200
91 2004 4
91 3199 274
91 4271 68
91 2293 9
92 4014 208
92 2800 290
92 1286 123
92 2556 85
93 3770 232
93 3559 73
93 3123 64
93 849 95
94 4338 205
94 3043 252
94 3073 100
95 3852 146
95 884 293
95 1639 199
96 704 156
97 1848 92
97 4226 174
97 801 284
97 2797 250
97 2213 217
97 2538 262
98 453 7
98 565 212
98 1214 10
98 3304 206
98 2307 215
99 892 279
99 3266 290
99 4942 250
100 1419 208
100 522 160
100 4650 144
101 2269 114
101 2779 11
101 2938 192
101 1972 25
101 4759 130
102 4446 225
102 511 230
102 237 281
102 2164 180
102 1962 163
103 3915 227
103 1391 270
103 1275 14
103 1650 83
103 641 252
104 1934 101
104 3051 195
104 2774 206
104 573 219
104 2436 156
105 4526 189
105 826 150
105 572 130
105 2613 70
105 4612 251
105 3268 93
105 976 54
106 2315 7
106 2771 269
106 2724 117
106 900 64
106 3967 147
106 3944 97
107 2801 216
107 1165 180
108 2757 285
108 3554 208
108 1464 192
108 3502 258
109 1627 18
109 3815 262
109 3735 27
109 2032 51
110 4532 126
110 3022 66
110 3663 175
110 1189 119
110 4617 167
110 1966 109
110 3498 175
111 2574 102
111 3467 263
112 3517 173
113 3897 70
113 2355 48
113 4671 295
113 4402 179
113 2738 126
113 1129 278
115 744 47
115 1605 187
116 2767 192
117 928 282
117 2680 211
117 2809 297
118 3796 180
118 4431 171
119 4149 65
119 513 286
119 621 31
120 3048 155
121 1674 271
121 3995 274
121 1518 6
122 1985 222
122 787 61
122 4379 265
122 2329 194
123 4731 229
123 329 144
123 2490 12
123 4903 151
124 2719 129
124 2955 8
124 2225 286
125 2208 155
126 2981 148
127 439 265
127 4814 235
128 4565 292
128 484 175
128 4601 14
129 4923 185
129 1337 184
129 2535 45
129 1050 273
129 715 271
129 3276 88
130 4502 173
130 4889 192
130 3088 29
130 330 88
131 4583 33
131 1407 66
132 3923 112
132 1415 47
133 4682 151
133 2637 215
134 1272 68
134 1070 1
134 340 298
134 1137 32
134 2800 285
135 3595 148
135 2713 247
135 2849 300
135 2475 263
135 1550 206
136 3248 80
136 236 129
136 1861 170
136 3097 210
136 732 196
137 4491 185
137 1714 289
138 4901 162
138 899 234
139 3931 122
140 4532 281
140 1234 86
140 1271 82
140 2711 252
140 3100 47
142 1106 120
142 4694 290
142 2000 225
142 3994 45
142 4455 239
143 453 149
143 2253 143
143 771 98
144 3585 164
144 2403 155
144 3200 202
144 4500 285
145 3379 271
145 1994 85
146 1944 298
146 2285 75
146 200 68
146 2813 60
146 2964 147
146 1081 79
147 3841 70
147 4310 37
147 723 278
148 3728 294
148 4314 170
148 2514 274
148 2341 119
148 1454 30
148 2363 273
148 4624 4
149 2256 116
149 4199 152
149 1823 22
149 4667 205
150 4170 29
150 805 136
150 3121 21
151 3441 61
151 4939 178
151 3747 179
151 2734 80
151 4984 144
151 4233 211
151 3879 149
152 2880 282
152 3920 96
153 1107 51
153 4129 180
153 3834 25
153 3994 142
153 4645 258
154 943 98
154 2549 70
154 4621 36
155 2778 173
155 4489 92
155 4809 191
156 4222 51
156 4603 228
156 4745 43
157 3110 222
157 4676 209
157 1578 126
158 3179 157
158 2654 209
158 1024 100
158 1150 285
159 1025 162
159 3141 51
159 1689 212
159 3032 239
160 4630 187
160 2746 154
160 1500 186
160 3192 38
161 1491 218
161 3454 280
161 4010 6
161 1755 121
161 1528 5
161 4231 206
162 4193 163
162 185 42
162 2162 197
162 3568 66
162 3109 222
163 2339 270
163 4736 58
163 4395 97
163 4660 91
163 4811 160
163 2196 277
164 3920 267
164 4916 39
164 4786 47
164 4214 255
165 337 163
165 3506 84
166 4747 41
166 4408 212
166 3696 291
167 4346 190
168 4652 134
168 4676 154
168 3000 260
168 4914 263
170 4600 94
171 2270 291
172 1355 194
172 3641 146
172 3997 181
173 3106 219
173 4423 32
173 383 165
174 1767 218
174 944 5
174 1421 121
174 512 86
174 1948 117
174 3019 125
175 1459 283
176 1223 114
176 2183 203
176 3136 200
176 4713 242
176 3343 284
177 3637 191
177 2158 252
177 3606 201
178 4385 65
178 3601 294
178 1565 105
178 3623 163
178 2905 6
178 2054 79
179 2914 239
179 3520 57
179 3476 44
180 4628 11
181 2954 169
181 2020 243
181 3838 80
182 1744 88
182 4760 278
183 3145 276
183 531 239
183 3485 212
183 2072 164
184 1205 43
184 4232 49
184 596 249
184 2325 157
185 3025 229
185 2712 140
186 569 164
186 3959 32
186 2748 129
186 2513 84
186 2123 221
186 4478 205
187 3921 205
187 276 293
187 3741 270
187 2622 218
187 2731 45
188 1850 199
189 4995 69
189 4027 245
189 954 185
189 2196 259
189 862 63
190 2302 219
190 4362 5
191 1397 68
191 2518 141
192 2420 90
192 1398 175
192 4381 246
193 4199 40
194 492 293
194 2210 5
194 1936 282
194 1448 197
194 4374 8
194 1815 105
195 4550 127
195 3533 62
195 1313 254
196 1191 273
196 4781 197
196 2368 105
196 1944 267
196 2390 163
197 4425 238
197 1314 76
197 4936 70
197 2966 23
197 394 241
197 4875 98
198 4000 196
198 1833 127
199 4072 282
199 601 274
199 1322 294
199 912 233
200 3481 44
200 3795 299
200 409 13
200 1741 80
200 419 102
201 1530 150
201 2024 111
202 268 89
202 4480 35
202 3396 165
203 3082 211
203 3674 125
203 837 57
204 4137 109
204 1657 12
204 2158 116
204 3919 195
205 668 160
205 2089 25
205 929 277
206 2733 57
206 4645 143
206 993 177
206 2943 102
206 2914 20
206 1756 257
207 4489 239
207 3176 160
207 3889 49
207 2700 80
207 2906 263
208 2455 227
208 2011 174
208 4641 247
208 4127 248
209 574 15
209 3935 90
209 2217 140
209 3923 67
209 761 215
210 3726 18
210 4286 114
210 473 246
211 4699 105
212 2181 35
212 3331 123
212 1541 108
213 3164 282
213 1447 188
213 4985 105
214 3973 263
214 1611 192
214 2093 59
214 665 285
214 2175 292
214 3220 94
214 2488 156
215 4773 41
215 4433 124
216 703 211
216 2228 127
216 4784 241
216 4939 135
216 660 213
216 4474 220
217 4920 91
217 3872 268
217 3870 141
218 2021 294
218 1875 77
218 2732 201
218 4486 214
219 2211 208
219 4407 253
219 4977 105
219 737 156
219 1985 101
220 4762 30
220 1798 16
220 400 36
220 3932 186
220 806 276
221 4825 41
221 643 193
221 3367 195
222 289 207
222 1329 254
222 3606 205
222 1253 189
223 4438 56
223 3058 108
223 2301 211
223 4851 233
224 2854 214
226 1682 90
226 3466 171
226 1618 226
226 3712 185
226 2807 235
226 4539 79
227 1949 29
227 1186 183
227 1665 117
227 3435 163
227 1509 49
227 595 49
227 3077 36
228 4933 114
228 1122 108
228 4020 101
228 4839 172
228 4535 7
228 583 299
228 4895 128
228 3516 128
228 3253 22
229 2418 287
229 2201 133
230 4149 48
230 4173 287
230 1436 147
230 3009 85
230 1808 51
231 386 261
231 4351 180
231 1405 198
232 3384 272
232 2739 160
232 4552 92
232 1752 262
232 1471 222
232 1104 194
233 2747 118
233 2135 21
233 3437 253
233 3143 18
233 3456 139
234 838 177
234 4616 217
234 4132 154
234 3206 185
235 2042 208
235 3433 217
235 733 100
235 3415 13
236 3569 247
236 3260 145
236 3005 224
236 725 23
237 429 46
237 1775 182
237 835 46
237 1562 131
238 4404 35
238 2959 43
238 1101 136
238 1641 155
238 3879 13
238 4431 59
239 4654 128
240 3792 73
240 4271 200
240 2348 195
240 1629 160
240 4231 124
240 4153 163
241 4389 5
241 4061 58
241 527 295
241 629 77
241 3856 242
242 3466 163
242 287 116
243 4166 47
243 3146 140
243 4090 226
244 3653 259
244 2866 177
244 3230 43
244 4158 12
244 2816 219
245 943 239
245 3509 244
245 2421 75
246 2821 144
246 3232 40
246 2976 29
246 600 134
247 844 150
247 3958 244
247 2569 80
247 1326 276
247 4324 126
248 3698 274
248 1932 216
248 655 63
248 3144 88
248 4182 29
249 1591 74
249 1653 270
249 496 143
250 3064 201
250 4908 22
251 839 257
252 1256 243
252 2491 221
252 283 136
252 2860 101
252 4903 117
253 2699 16
253 2063 59
254 1767 90
254 1619 98
254 3648 94
255 3829 172
255 2938 247
255 3163 74
255 2392 247
255 4985 252
255 1050 136
256 1524 39
256 4578 41
256 1333 282
257 1917 298
257 3948 228
258 1364 276
258 2643 104
258 3124 87
259 1755 13
259 2384 219
259 3512 61
259 4682 173
260 2947 185
261 1888 74
261 4739 3
261 468 141
261 4072 97
262 3294 198
262 1809 291
262 2668 7
262 3785 74
262 348 287
262 1744 99
263 3670 116
263 1422 42
263 4372 205
263 3820 235
263 2526 137
265 1974 173
265 1851 174
265 4531 51
266 4456 8
266 2131 20
266 4448 109
267 904 83
267 1827 203
267 3389 170
267 1148 196
267 711 118
268 2304 243
268 701 243
268 2858 122
269 1381 6
269 905 232
269 2196 218
269 2032 18
269 4562 254
270 3707 197
270 2461 20
270 3833 236
270 2545 11
270 4568 295
271 2537 150
271 2528 155
271 2190 255
271 3814 112
271 3272 295
271 795 200
271 418 36
272 4749 116
272 4230 102
272 2868 160
273 3049 176
273 4956 272
274 2658 242
275 4501 112
275 4317 110
275 354 29
275 1507 231
276 3427 195
276 2843 217
276 738 28
277 2355 140
277 3199 160
277 3532 273
277 4266 156
277 4317 103
278 329 44
278 2395 289
278 3353 220
278 3645 183
278 2807 113
279 4295 212
279 2643 106
280 679 113
280 1129 115
280 2914 204
280 3624 46
280 907 292
281 3033 121
281 3663 85
281 2562 214
281 3728 292
281 1495 9
281 1450 95
281 4613 261
282 422 57
282 2146 218
282 1575 233
282 306 249
282 2915 294
283 1880 271
283 3451 142
284 684 156
284 1552 288
285 2083 1
285 2542 268
285 1481 106
285 1090 231
286 1695 4
286 1094 19
286 1402 79
286 3624 74
286 2625 17
288 828 208
289 3163 202
290 621 98
291 754 133
292 2928 42
292 3211 81
292 929 216
292 1604 58
292 1260 71
292 4645 116
292 2798 231
294 334 252
294 3492 50
294 3560 63
294 1498 213
294 3832 77
295 4468 110
295 2757 125
296 4425 37
296 1687 172
296 875 285
296 4034 157
296 2188 274
297 3976 81
297 1816 158
297 1747 233
297 1784 149
298 1378 24
298 2043 167
298 2509 43
298 1897 144
299 3006 117
299 4816 25
299 4889 276
299 4058 43
300 3231 125
300 3848 69
300 904 125
300 2527 278
300 4885 31
301 1020 77
301 792 199
301 4906 75
301 1945 73
301 2628 226
301 3975 295
301 442 32
302 2348 1
302 982 64
302 985 47
302 1466 57
304 3863 196
304 3973 290
304 3813 37
305 990 283
306 3560 16
306 714 198
307 2582 53
308 1366 23
308 4382 294
308 2894 180
308 2117 100
308 3329 48
308 855 152
308 4742 181
309 989 28
309 2131 10
309 359 264
310 2701 88
310 4854 93
310 2947 209
310 4515 257
310 4458 5
310 1424 82
311 1260 168
311 3745 250
312 3299 151
312 1464 77
312 1843 237
312 2110 139
313 4771 62
313 2849 91
313 1117 236
313 1525 108
313 3709 157
313 2912 181
314 2585 202
314 2743 142
314 670 253
314 604 160
314 4957 11
315 4034 283
315 446 179
315 2398 181
315 4909 25
315 1992 119
316 1746 4
316 3020 103
316 3936 184
316 1024 76
316 2726 207
316 2856 32
317 2541 131
317 4713 281
318 1271 29
318 3091 88
318 443 119
318 793 34
319 1167 194
319 707 279
319 2743 103
319 3496 156
319 3882 48
319 2837 78
320 904 265
320 1170 233
320 1316 73
320 3748 125
321 1492 28
321 2844 113
322 646 292
323 1589 93
323 2111 22
323 1381 233
323 3361 165
324 2181 283
325 1254 193
325 658 135
326 4543 212
326 4041 90
326 3702 223
326 3322 42
327 2329 144
327 3971 293
327 1719 175
328 4868 42
328 1357 151
329 425 224
329 4628 280
329 4408 246
330 4103 81
331 1136 137
331 4337 239
331 3934 16
331 2920 247
331 987 83
331 1804 30
331 2352 161
332 4010 82
332 4666 270
333 1060 82
333 4819 281
333 3572 252
333 4673 150
334 1385 227
334 3528 17
334 4627 206
335 4786 232
335 1706 267
335 1295 195
335 2222 65
335 371 265
336 4750 282
336 3240 32
336 2673 129
336 2715 50
336 4635 104
336 4882 200
336 1560 243
336 849 113
337 1118 46
337 422 30
337 3008 112
337 3126 180
337 2304 224
337 4526 295
337 3094 141
338 357 42
338 2791 214
338 3404 196
338 958 65
338 2046 178
339 1854 254
339 3074 99
339 4383 182
339 569 290
339 4484 1
339 1017 26
340 4931 271
340 3456 239
340 523 25
