10000 25000
0 9247 30
0 2889 212
0 3652 250
0 1104 283
1 4305 66
1 2088 295
1 9779 276
2 1388 217
2 1592 277
2 2171 137
2 7669 54
2 2205 177
2 792 147
3 8349 111
3 8356 180
3 1521 148
3 8371 235
3 4581 247
3 6353 4
3 4353 252
3 5617 227
3 1592 186
3 7272 172
4 9126 49
4 2089 235
4 7285 19
4 6970 39
4 7916 127
5 5992 115
5 9130 244
5 1974 0
5 2431 70
5 991 182
6 4644 78
6 2181 158
6 2882 16
6 7818 16
6 1495 93
7 6256 153
7 896 64
7 1507 71
7 5334 121
7 6384 246
7 4232 94
7 1480 61
8 1035 247
8 549 152
8 3599 200
9 7138 181
9 9998 287
9 3735 105
9 3056 165
10 9839 163
10 7918 32
10 1441 112
11 9797 23
11 125 64
11 2896 187
11 7794 286
12 8293 166
12 8921 272
12 8905 157
12 2443 234
12 558 148
12 2239 127
13 8678 181
13 1110 285
13 774 277
13 3511 45
13 6387 108
13 3256 43
13 6184 146
14 9519 85
14 5835 29
14 7623 144
15 4010 104
15 1870 216
15 3639 150
15 4355 257
16 451 23
16 9294 113
16 7064 9
17 4900 149
17 1911 1
18 9769 23
18 4588 224
18 7843 131
18 4540 38
18 9492 266
19 5639 142
19 1451 96
19 895 143
20 5042 30
20 4704 151
20 1919 183
20 7826 77
21 7776 65
21 2521 153
21 3502 78
21 9564 163
21 2285 78
21 3598 195
21 4031 247
21 7250 16
21 946 124
21 170 33
22 689 294
22 3696 208
22 6566 200
22 4041 191
22 606 69
22 1999 281
22 1894 198
23 1389 105
23 4905 160
24 37 145
24 6013 62
24 4598 49
24 7151 35
25 9574 78
25 7002 274
25 7542 198
25 834 86
26 8962 146
26 300 168
26 6831 188
26 3071 44
27 8311 151
28 1060 234
28 3148 150
28 2433 84
28 8439 159
29 1531 17
29 4853 243
29 6827 211
29 4427 77
29 5839 181
29 9955 118
29 1170 85
30 3791 28
30 4209 266
30 314 115
30 9995 54
30 2937 295
30 4814 82
31 1161 161
31 255 105
31 1260 156
31 510 17
31 7910 282
32 895 180
33 5438 147
33 4405 276
33 8170 195
34 2794 165
34 6000 272
34 3613 172
34 7037 81
35 1749 38
35 7905 202
35 6389 224
35 9961 84
35 3969 126
35 1808 151
35 4200 109
35 8352 113
36 4624 81
36 6244 256
36 3121 144
36 1036 41
36 5791 161
36 6943 96
36 1829 224
36 6841 283
36 8779 37
37 1123 53
37 3269 4
37 278 283
37 498 74
37 1620 81
37 7245 200
37 9925 226
37 5700 179
37 8994 251
37 6599 272
37 6421 78
37 1595 161
38 7652 84
38 9512 197
38 7839 76
38 4513 44
38 9247 191
38 9595 267
38 1574 220
38 3349 45
39 7539 229
39 5208 287
39 2297 250
39 8804 47
39 6833 218
39 2597 102
39 8158 259
40 580 63
40 6634 128
41 6462 155
41 3118 94
41 4483 67
41 1669 40
42 8660 125
42 8127 39
42 6070 299
42 4682 91
42 9935 181
42 1251 296
43 8564 145
43 4662 113
44 5335 44
44 6042 35
44 3806 4
44 844 255
44 7270 229
45 5922 257
45 2707 162
45 7780 92
45 7364 258
45 1406 106
45 3569 107
45 7457 24
45 9820 147
46 119 199
46 6991 204
46 8922 277
46 4479 177
46 1049 282
46 7268 89
46 7689 57
47 8043 21
47 8737 5
47 9201 259
47 2278 78
47 8446 210
47 4142 125
47 3229 59
47 3234 78
48 7228 129
48 5746 13
48 8570 100
48 8430 178
48 8748 33
48 6533 260
48 2123 154
49 528 169
